# freq_THz  G_total_s  G_Al_s  G_N_s  G_Ga_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
2.2705078125e+01 2.1275941417e-01 1.1337898812e-02 1.9931089837e-01 2.1106169941e-03
2.2949218750e+01 2.4526922562e-01 1.4980124022e-02 2.2737747018e-01 2.9116314174e-03
2.3193359375e+01 2.7318845283e-01 1.8980887475e-02 2.5052028030e-01 3.6872850570e-03
2.3437500000e+01 2.8900699922e-01 2.3126295756e-02 2.6159780997e-01 4.2828934932e-03
2.3681640625e+01 2.8686610261e-01 2.7060645219e-02 2.5524907204e-01 4.5563853461e-03
2.3925781250e+01 2.6946489195e-01 3.0545819501e-02 2.3444493798e-01 4.4741344671e-03
2.4169921875e+01 2.4674035711e-01 3.3685260337e-02 2.0888665393e-01 4.1684428475e-03
2.4414062500e+01 2.2839094025e-01 3.6871212641e-02 1.8765709813e-01 3.8626294844e-03
2.4658203125e+01 2.1958191513e-01 4.0704462546e-02 1.7514614758e-01 3.7313050071e-03
2.4902343750e+01 2.2372384413e-01 4.6397795135e-02 1.7348385534e-01 3.8421936584e-03
2.5146484375e+01 2.4861090306e-01 5.6776470943e-02 1.8767862344e-01 4.1558086683e-03
2.5390625000e+01 3.1018730788e-01 7.7128322506e-02 2.2858296656e-01 4.4760188114e-03
2.5634765625e+01 4.2603773487e-01 1.1329127922e-01 3.0826974388e-01 4.4767117712e-03
2.5878906250e+01 5.8894209584e-01 1.6362912308e-01 4.2135641155e-01 3.9565612075e-03
2.6123046875e+01 7.3847549580e-01 2.1046720043e-01 5.2495407771e-01 3.0542176573e-03
2.6367187500e+01 7.8721319895e-01 2.2784818716e-01 5.5725989180e-01 2.1051199826e-03
2.6611328125e+01 7.0172378536e-01 2.0539929196e-01 4.9497888072e-01 1.3456126709e-03
2.6855468750e+01 5.3350203418e-01 1.5765377209e-01 3.7502660081e-01 8.2166127511e-04
2.7099609375e+01 3.5679034911e-01 1.0625592887e-01 2.5005111836e-01 4.8330187617e-04
2.7343750000e+01 2.1186392696e-01 6.3416375379e-02 1.4817439064e-01 2.7316094172e-04
2.7587890625e+01 1.0972699015e-01 3.2911726038e-02 7.6664843163e-02 1.5042095439e-04
2.7832031250e+01 4.9158047831e-02 1.4727649250e-02 3.4344892853e-02 8.5505728010e-05
2.8076171875e+01 2.0161175250e-02 6.0067112468e-03 1.4099676046e-02 5.4787956656e-05
2.8320312500e+01 8.9581537181e-03 2.6409646383e-03 6.2761214777e-03 4.1067602078e-05
2.8564453125e+01 5.1996355280e-03 1.5177853461e-03 3.6474045298e-03 3.4445652100e-05
2.8808593750e+01 3.8700492142e-03 1.1249504726e-03 2.7145609259e-03 3.0537815744e-05
2.9052734375e+01 3.2383813541e-03 9.4068765883e-04 2.2699318303e-03 2.7761864935e-05
2.9296875000e+01 2.8341373870e-03 8.2359721307e-04 1.9849796824e-03 2.5560491520e-05
2.9541015625e+01 2.5359979293e-03 7.3723218320e-04 1.7750664826e-03 2.3699263569e-05
2.9785156250e+01 2.3023982402e-03 6.6881565282e-04 1.6114977473e-03 2.2084840073e-05
3.0029296875e+01 2.1117706225e-03 6.1157275337e-04 1.4795073053e-03 2.0690563873e-05
3.0273437500e+01 1.9490043750e-03 5.6098008344e-04 1.3685384938e-03 1.9485797745e-05
3.0517578125e+01 1.8027129061e-03 5.1399769649e-04 1.2702863854e-03 1.8428824266e-05
3.0761718750e+01 1.6684548935e-03 4.6995430224e-04 1.1810011462e-03 1.7499445096e-05
3.1005859375e+01 1.5480518237e-03 4.3021451811e-04 1.1011439949e-03 1.6693310660e-05
3.1250000000e+01 1.4439785328e-03 3.9622016079e-04 1.0317511302e-03 1.6007241807e-05
3.1494140625e+01 1.3567145524e-03 3.6842981320e-04 9.7283743241e-04 1.5447306798e-05
3.1738281250e+01 1.2852549487e-03 3.4650776720e-04 9.2374333799e-04 1.5003843558e-05
3.1982421875e+01 1.2272262401e-03 3.2960976014e-04 8.8300706003e-04 1.4609419909e-05
3.2226562500e+01 1.1792824020e-03 3.1659628215e-04 8.4850726384e-04 1.4178856032e-05
3.2470703125e+01 1.1384276472e-03 3.0632987173e-04 8.1840684939e-04 1.3690926116e-05
3.2714843750e+01 1.1029809106e-03 2.9797643178e-04 7.9181673580e-04 1.3187743027e-05
3.2958984375e+01 1.0724442373e-03 2.9111775489e-04 7.6861235106e-04 1.2714131370e-05
3.3203125000e+01 1.0464985387e-03 2.8550336950e-04 7.4870438823e-04 1.2290780984e-05
3.3447265625e+01 1.0240977208e-03 2.8068324207e-04 7.3148645949e-04 1.1928019227e-05
3.3691406250e+01 1.0036616744e-03 2.7596846141e-04 7.1606067231e-04 1.1632540727e-05
3.3935546875e+01 9.8405875338e-04 2.7074217456e-04 7.0191696793e-04 1.1399610894e-05
3.4179687500e+01 9.6508982879e-04 2.6474679419e-04 6.8912428342e-04 1.1218751176e-05
3.4423828125e+01 9.4695679533e-04 2.5809595957e-04 6.7778079557e-04 1.1080040198e-05
3.4667968750e+01 9.2956406079e-04 2.5109959146e-04 6.6750458822e-04 1.0959881105e-05
3.4912109375e+01 9.1271854957e-04 2.4414731811e-04 6.5774875032e-04 1.0822481131e-05
3.5156250000e+01 8.9703675404e-04 2.3774345278e-04 6.4863843368e-04 1.0654867575e-05
3.5400390625e+01 8.8410607473e-04 2.3247639818e-04 6.4114515271e-04 1.0484523841e-05
3.5644531250e+01 8.7537269180e-04 2.2877581676e-04 6.3625151210e-04 1.0345362934e-05
3.5888671875e+01 8.7132537969e-04 2.2675622247e-04 6.3433084612e-04 1.0238311099e-05
3.6132812500e+01 8.7210504574e-04 2.2639780344e-04 6.3556572407e-04 1.0141518234e-05
3.6376953125e+01 8.7820038614e-04 2.2776898064e-04 6.4039440767e-04 1.0036997838e-05
3.6621093750e+01 8.8983757029e-04 2.3092385943e-04 6.4900498275e-04 9.9087281101e-06
3.6865234375e+01 9.0582219416e-04 2.3555392650e-04 6.6052728888e-04 9.7409787756e-06
3.7109375000e+01 9.2303669686e-04 2.4073100218e-04 6.7277410024e-04 9.5315944445e-06
3.7353515625e+01 9.3698986245e-04 2.4505079120e-04 6.8265077657e-04 9.2882946828e-06
3.7597656250e+01 9.4351713392e-04 2.4722510165e-04 6.8728223800e-04 9.0097942653e-06
3.7841796875e+01 9.4068783438e-04 2.4667240434e-04 6.8532979970e-04 8.6856303422e-06
3.8085937500e+01 9.2896877305e-04 2.4352631763e-04 6.7713123705e-04 8.3112183736e-06
3.8330078125e+01 9.0942345077e-04 2.3811402400e-04 6.6342322773e-04 7.8861990397e-06
3.8574218750e+01 8.8244255712e-04 2.3061083434e-04 6.4443092066e-04 7.4008021303e-06
3.8818359375e+01 8.4873860904e-04 2.2127973378e-04 6.2061408412e-04 6.8447911463e-06
3.9062500000e+01 8.1092331113e-04 2.1084751260e-04 5.9384174606e-04 6.2340524656e-06
3.9306640625e+01 7.7340690633e-04 2.0048601362e-04 5.6731314799e-04 5.6077447236e-06
3.9550781250e+01 7.4084050878e-04 1.9144676387e-04 5.4440086657e-04 4.9928783427e-06
3.9794921875e+01 7.1657450590e-04 1.8464792861e-04 5.2753655763e-04 4.3900196683e-06
4.0039062500e+01 7.0190557243e-04 1.8042633602e-04 5.1768429221e-04 3.7949442047e-06
4.0283203125e+01 6.9632286928e-04 1.7858106972e-04 5.1452490724e-04 3.2168923262e-06
4.0527343750e+01 6.9857763923e-04 1.7866944938e-04 5.1723411497e-04 2.6740748807e-06
4.0771484375e+01 7.0666231175e-04 1.8006309974e-04 5.2441737903e-04 2.1818329797e-06
4.1015625000e+01 7.1462248029e-04 1.8123590419e-04 5.3163910580e-04 1.7474703028e-06
4.1259765625e+01 7.0929171641e-04 1.7899251443e-04 5.2892666948e-04 1.3725324973e-06
4.1503906250e+01 6.7378917116e-04 1.6929257470e-04 5.0343856535e-04 1.0580311102e-06
4.1748046875e+01 5.9817302315e-04 1.4981208099e-04 4.4755465008e-04 8.0629208798e-07
4.1992187500e+01 4.8809216250e-04 1.2201877911e-04 3.6545637440e-04 6.1700898088e-07
4.2236328125e+01 3.6333925820e-04 9.0790446443e-05 2.7206564406e-04 4.8316769852e-07
4.2480468750e+01 2.4774662746e-04 6.1962133712e-05 1.8539205760e-04 3.9243614592e-07
4.2724609375e+01 1.5802039251e-04 3.9618209800e-05 1.1807024092e-04 3.3194179563e-07
4.2968750000e+01 9.8549140083e-05 2.4806132031e-05 7.3451440639e-05 2.9156741262e-07
4.3212890625e+01 6.4129052007e-05 1.6195177800e-05 4.7669131952e-05 2.6474225588e-07
4.3457031250e+01 4.6369681436e-05 1.1664518557e-05 3.4456972178e-05 2.4819070109e-07
4.3701171875e+01 3.8296077060e-05 9.4479038596e-06 2.8606547796e-05 2.4162540490e-07
4.3945312500e+01 3.5593550243e-05 8.4543683753e-06 2.6891762213e-05 2.4741965439e-07
4.4189453125e+01 3.6035956933e-05 8.1428449222e-06 2.7622977974e-05 2.7013403651e-07
4.4433593750e+01 3.8637686229e-05 8.3058149342e-06 3.0015474440e-05 3.1639685444e-07
4.4677734375e+01 4.3052804865e-05 8.8967197393e-06 3.3761238224e-05 3.9484690099e-07
4.4921875000e+01 4.9180804354e-05 9.9249041653e-06 3.8741629848e-05 5.1427034056e-07
4.5166015625e+01 5.6874743317e-05 1.1397143466e-05 4.4798605360e-05 6.7899449181e-07
4.5410156250e+01 6.5750196295e-05 1.3278348849e-05 5.1588717940e-05 8.8312950579e-07
4.5654296875e+01 7.5168492073e-05 1.5477188305e-05 5.8584573584e-05 1.1067301829e-06
4.5898437500e+01 8.4429567053e-05 1.7877932798e-05 6.5233490619e-05 1.3181436358e-06
4.6142578125e+01 9.3044467736e-05 2.0397850496e-05 7.1161899570e-05 1.4847176699e-06
4.6386718750e+01 1.0086039920e-04 2.3019008123e-05 7.6257459486e-05 1.5839315914e-06
4.6630859375e+01 1.0800268297e-04 2.5789872518e-05 8.0607503290e-05 1.6053071611e-06
4.6875000000e+01 1.1489850932e-04 2.8860452300e-05 8.4489582721e-05 1.5484742942e-06
4.7119140625e+01 1.2265615897e-04 3.2624785092e-05 8.8606427476e-05 1.4249463977e-06
4.7363281250e+01 1.3366660189e-04 3.7938146871e-05 9.4469201393e-05 1.2592536242e-06
4.7607421875e+01 1.5161285281e-04 4.6119415100e-05 1.0440961172e-04 1.0838259908e-06
