# freq_THz  G_total  G_Al  G_N  G_Ga
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
3.1494140625e+01 1.3304921433e-03 3.5943251990e-04 9.5597852858e-04 1.5081094785e-05
3.1738281250e+01 1.2643710838e-03 3.3954786609e-04 9.1004450544e-04 1.4778712258e-05
3.1982421875e+01 1.2140800517e-03 3.2421309550e-04 8.7497280473e-04 1.4894151430e-05
3.2226562500e+01 1.1682119603e-03 3.1247845938e-04 8.4150731533e-04 1.4226185605e-05
3.2470703125e+01 1.1317455929e-03 3.0425573872e-04 8.1383777411e-04 1.3652080080e-05
3.2714843750e+01 1.0941080488e-03 2.9559871344e-04 7.8544069781e-04 1.3068637502e-05
3.2958984375e+01 1.0631690571e-03 2.8848432163e-04 7.6206286310e-04 1.2621872342e-05
3.3203125000e+01 1.0381589809e-03 2.8333865150e-04 7.4258648629e-04 1.2233843135e-05
3.3447265625e+01 1.0205177660e-03 2.8007217929e-04 7.2867753595e-04 1.1768050784e-05
3.3691406250e+01 1.0017820704e-03 2.7645426221e-04 7.1383751800e-04 1.1490290154e-05
3.3935546875e+01 9.8135246757e-04 2.7138945021e-04 6.9856485800e-04 1.1398159353e-05
3.4179687500e+01 9.6096245336e-04 2.6508530778e-04 6.8478723556e-04 1.1089910023e-05
3.4423828125e+01 9.4277723976e-04 2.5776630712e-04 6.7404714185e-04 1.0963790781e-05
3.4667968750e+01 9.2771375576e-04 2.5045409227e-04 6.6624043756e-04 1.1019225923e-05
3.4912109375e+01 9.1178694322e-04 2.4342215530e-04 6.5748497026e-04 1.0879817660e-05
3.5156250000e+01 8.9107786030e-04 2.3558294911e-04 6.4479990060e-04 1.0695010589e-05
3.5400390625e+01 8.7440157839e-04 2.2934216966e-04 6.3475784116e-04 1.0301567570e-05
3.5644531250e+01 8.6686576350e-04 2.2602317017e-04 6.3061109728e-04 1.0231496055e-05
3.5888671875e+01 8.6625218698e-04 2.2476565556e-04 6.3116615505e-04 1.0320376371e-05
3.6132812500e+01 8.6273298585e-04 2.2372950302e-04 6.2894403024e-04 1.0059452586e-05
3.6376953125e+01 8.6766929076e-04 2.2477531246e-04 6.3286423794e-04 1.0029740350e-05
3.6621093750e+01 8.8067415796e-04 2.2789267637e-04 6.4281030003e-04 9.9711815647e-06
3.6865234375e+01 9.0071787203e-04 2.3360726121e-04 6.5730909281e-04 9.8015180051e-06
3.7109375000e+01 9.2340802462e-04 2.4105945762e-04 6.7283694895e-04 9.5116180564e-06
3.7353515625e+01 9.4779112937e-04 2.4830947764e-04 6.9020612847e-04 9.2755232599e-06
3.7597656250e+01 9.5564091256e-04 2.5075296782e-04 6.9580512824e-04 9.0828165018e-06
3.7841796875e+01 9.5042704051e-04 2.4954280931e-04 6.9214139113e-04 8.7428400639e-06
3.8085937500e+01 9.3196453603e-04 2.4460213207e-04 6.7903886454e-04 8.3235394233e-06
3.8330078125e+01 9.1684695451e-04 2.4027888818e-04 6.6866023899e-04 7.9078273318e-06
3.8574218750e+01 8.9196464353e-04 2.3315439327e-04 6.5130004996e-04 7.5102002881e-06
3.8818359375e+01 8.5367513099e-04 2.2243112680e-04 6.2426138267e-04 6.9826215198e-06
3.9062500000e+01 8.0862618274e-04 2.1042540052e-04 5.9202500244e-04 6.1757797771e-06
3.9306640625e+01 7.6380736907e-04 1.9799287049e-04 5.6029405384e-04 5.5204447388e-06
3.9550781250e+01 7.2725517355e-04 1.8765160096e-04 5.3461018788e-04 4.9933847068e-06
3.9794921875e+01 7.0134797713e-04 1.8060742483e-04 5.1634977846e-04 4.3907738300e-06
4.0039062500e+01 6.8730131016e-04 1.7652459704e-04 5.0699905806e-04 3.7776550646e-06
4.0283203125e+01 6.8815882615e-04 1.7659756739e-04 5.0841154810e-04 3.1497106565e-06
