# freq_THz  G_total_s  G_B_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
2.0019531250e+01 7.6527485979e-02 3.6383727597e-02 1.0619377845e-02 2.9524380537e-02
2.0263671875e+01 7.3498272327e-02 3.5659259939e-02 8.9363053176e-03 2.8902707070e-02
2.0507812500e+01 6.0997618225e-02 2.8603004574e-02 7.2949784158e-03 2.5099635235e-02
2.0751953125e+01 4.5853133226e-02 1.9742171815e-02 5.8014283877e-03 2.0309533023e-02
2.0996093750e+01 3.5214812539e-02 1.3688178760e-02 4.5950295439e-03 1.6931604236e-02
2.1240234375e+01 3.1091505447e-02 1.1439440660e-02 3.7028269533e-03 1.5949237834e-02
2.1484375000e+01 3.1943641650e-02 1.1190251026e-02 3.1091113472e-03 1.7644279276e-02
2.1728515625e+01 3.6674551113e-02 1.0855229892e-02 2.8693873462e-03 2.2949933875e-02
2.1972656250e+01 4.6261632012e-02 9.6704781777e-03 3.1373422005e-03 3.3453811633e-02
2.2216796875e+01 6.1959045326e-02 8.0517908176e-03 4.0874912501e-03 4.9819763258e-02
2.2460937500e+01 8.2885889579e-02 6.5199018948e-03 5.7998582118e-03 7.0566129472e-02
2.2705078125e+01 1.0626278293e-01 5.1649856091e-03 8.2112151328e-03 9.2886582191e-02
2.2949218750e+01 1.2971168491e-01 3.9089517372e-03 1.1188069469e-02 1.1461466370e-01
2.3193359375e+01 1.5235894947e-01 2.8071891554e-03 1.4614175749e-02 1.3493758457e-01
2.3437500000e+01 1.7340239357e-01 1.9944543278e-03 1.8350276930e-02 1.5305766231e-01
2.3681640625e+01 1.9091390738e-01 1.5070611070e-03 2.2174698397e-02 1.6723214788e-01
2.3925781250e+01 2.0316403173e-01 1.2610887894e-03 2.5874098866e-02 1.7602884408e-01
2.4169921875e+01 2.1019655340e-01 1.1483340089e-03 2.9372415014e-02 1.7967580438e-01
2.4414062500e+01 2.1345449777e-01 1.0954310954e-03 3.2741551471e-02 1.7961751521e-01
2.4658203125e+01 2.1466525524e-01 1.0624437232e-03 3.6135607503e-02 1.7746720401e-01
2.4902343750e+01 2.1568427862e-01 1.0285004194e-03 3.9812415799e-02 1.7484336240e-01
2.5146484375e+01 2.1973608103e-01 9.8421512753e-04 4.4431932266e-02 1.7431993364e-01
2.5390625000e+01 2.3329947385e-01 9.2929141894e-04 5.1599394660e-02 1.8077078777e-01
2.5634765625e+01 2.6650622716e-01 8.7074477067e-04 6.4066790879e-02 2.0156869151e-01
2.5878906250e+01 3.2809512755e-01 8.1928132440e-04 8.4328174879e-02 2.4294767135e-01
2.6123046875e+01 4.1353925154e-01 7.8460420443e-04 1.1115126771e-01 3.0160337963e-01
2.6367187500e+01 4.9681017639e-01 7.7090800195e-04 1.3709421453e-01 3.5894505386e-01
2.6611328125e+01 5.4122534953e-01 7.7472983593e-04 1.5151961453e-01 3.8893100517e-01
2.6855468750e+01 5.2493130105e-01 7.8865136632e-04 1.4793234489e-01 3.7621030479e-01
2.7099609375e+01 4.5555119371e-01 8.0913215615e-04 1.2835976656e-01 3.2638229499e-01
2.7343750000e+01 3.6091649968e-01 8.4069387463e-04 1.0083549020e-01 2.5924031561e-01
2.7587890625e+01 2.7007174271e-01 8.9534770949e-04 7.3858442087e-02 1.9531795292e-01
2.7832031250e+01 2.0128616071e-01 9.9123430243e-04 5.2758953401e-02 1.4753597301e-01
2.8076171875e+01 1.5912613613e-01 1.1463923163e-03 3.8828919021e-02 1.1915082479e-01
2.8320312500e+01 1.3771745275e-01 1.3663094213e-03 3.0400960859e-02 1.0595018247e-01
2.8564453125e+01 1.2769639194e-01 1.6316117049e-03 2.5027123684e-02 1.0103765655e-01
2.8808593750e+01 1.2131732753e-01 1.8881755846e-03 2.1066913740e-02 9.8362238205e-02
2.9052734375e+01 1.1316975590e-01 2.0553604811e-03 1.7732645716e-02 9.3381749706e-02
2.9296875000e+01 1.0033747479e-01 2.0713587811e-03 1.4614312242e-02 8.3651803763e-02
2.9541015625e+01 8.3469421750e-02 1.9383480880e-03 1.1608445716e-02 6.9922627946e-02
2.9785156250e+01 6.5800447577e-02 1.7102540471e-03 8.8967434039e-03 5.5193450126e-02
3.0029296875e+01 5.0149297520e-02 1.4419174825e-03 6.6700700179e-03 4.2037310020e-02
3.0273437500e+01 3.7277222960e-02 1.1631380553e-03 4.9256624048e-03 3.1188422500e-02
3.0517578125e+01 2.6781234087e-02 8.9304576848e-04 3.5528372666e-03 2.2335351052e-02
3.0761718750e+01 1.8447672336e-02 6.5582117227e-04 2.4884652935e-03 1.5303385870e-02
3.1005859375e+01 1.2320188207e-02 4.7156157462e-04 1.7163708009e-03 1.0132255831e-02
