# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
3.8085937500e+01 8.9794285268e-04 2.5540681904e-04 6.4253603364e-04
3.8330078125e+01 8.9760459585e-04 2.5460905539e-04 6.4299554046e-04
3.8574218750e+01 8.8897897711e-04 2.5131561307e-04 6.3766336405e-04
3.8818359375e+01 8.7212767684e-04 2.4558342627e-04 6.2654425058e-04
3.9062500000e+01 8.4800737420e-04 2.3765690466e-04 6.1035046954e-04
3.9306640625e+01 8.1900197408e-04 2.2818837636e-04 5.9081359771e-04
3.9550781250e+01 7.8820769653e-04 2.1808573290e-04 5.7012196363e-04
3.9794921875e+01 7.5895295955e-04 2.0832824237e-04 5.5062471717e-04
4.0039062500e+01 7.3510449454e-04 1.9999375198e-04 5.3511074256e-04
4.0283203125e+01 7.2096322209e-04 1.9422801010e-04 5.2673521200e-04
4.0527343750e+01 7.2064108972e-04 1.9207232706e-04 5.2856876267e-04
4.0771484375e+01 7.3754119917e-04 1.9431845048e-04 5.4322274868e-04
4.1015625000e+01 7.7199394807e-04 2.0095491256e-04 5.7103903551e-04
4.1259765625e+01 8.1519174699e-04 2.0973826546e-04 6.0545348153e-04
4.1503906250e+01 8.4456513967e-04 2.1511808506e-04 6.2944705461e-04
4.1748046875e+01 8.3043196103e-04 2.0987140912e-04 6.2056055190e-04
4.1992187500e+01 7.5406920393e-04 1.8948047199e-04 5.6458873194e-04
4.2236328125e+01 6.2186594138e-04 1.5559065862e-04 4.6627528276e-04
4.2480468750e+01 4.6218711583e-04 1.1527158640e-04 3.4691552943e-04
4.2724609375e+01 3.0959211387e-04 7.7100657545e-05 2.3249145632e-04
4.2968750000e+01 1.8951533913e-04 4.7300227567e-05 1.4221511156e-04
4.3212890625e+01 1.1074705356e-04 2.7874909685e-05 8.2872143874e-05
4.3457031250e+01 6.7298481383e-05 1.7166001656e-05 5.0132479728e-05
4.3701171875e+01 4.6811546560e-05 1.2014713291e-05 3.4796833268e-05
4.3945312500e+01 3.8528062519e-05 9.7475575751e-06 2.8780504944e-05
4.4189453125e+01 3.6133192742e-05 8.8498811136e-06 2.7283311628e-05
4.4433593750e+01 3.6783800847e-05 8.6840506309e-06 2.8099750216e-05
