# freq_THz  G_total  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
5.0048828125e+01 3.9679976139e-04 1.4341631141e-04 2.5338344999e-04
5.0292968750e+01 3.4527190661e-04 1.2301237301e-04 2.2225953360e-04
5.0537109375e+01 2.9872391171e-04 1.0457726135e-04 1.9414665036e-04
5.0781250000e+01 2.6948555020e-04 9.2588792701e-05 1.7689675750e-04
5.1025390625e+01 2.4805787539e-04 8.4277651611e-05 1.6378022378e-04
5.1269531250e+01 2.3069556985e-04 7.7712950766e-05 1.5298261909e-04
5.1513671875e+01 2.1979005998e-04 7.3208176741e-05 1.4658188324e-04
5.1757812500e+01 2.1642919836e-04 7.0983151252e-05 1.4544604711e-04
5.2001953125e+01 2.2912787599e-04 7.3557479110e-05 1.5557039688e-04
5.2246093750e+01 2.9096745443e-04 9.0450117266e-05 2.0051733716e-04
5.2490234375e+01 4.2103265679e-04 1.2737086871e-04 2.9366178808e-04
5.2734375000e+01 5.4938396572e-04 1.6481900351e-04 3.8456496221e-04
5.2978515625e+01 5.3649922495e-04 1.6080553426e-04 3.7569369069e-04
5.3222656250e+01 3.5813489774e-04 1.0788987361e-04 2.5024502413e-04
5.3466796875e+01 1.5433936769e-04 4.6983932228e-05 1.0735543546e-04
5.3710937500e+01 5.0791499743e-05 1.5601011225e-05 3.5190488518e-05
5.3955078125e+01 2.1910525878e-05 6.7186636567e-06 1.5191862221e-05
5.4199218750e+01 1.4440460212e-05 4.4268723814e-06 1.0013587831e-05
5.4443359375e+01 1.1406849608e-05 3.4917572281e-06 7.9150923794e-06
5.4687500000e+01 9.7287927761e-06 2.9739388455e-06 6.7548539305e-06
5.4931640625e+01 8.5622001372e-06 2.6138689161e-06 5.9483312211e-06
5.5175781250e+01 7.6022108803e-06 2.3194090956e-06 5.2828017847e-06
5.5419921875e+01 6.9029261779e-06 2.1012502837e-06 4.8016758942e-06
5.5664062500e+01 6.4005776669e-06 1.9474362137e-06 4.4531414533e-06
5.5908203125e+01 5.9651305636e-06 1.8057710900e-06 4.1593594736e-06
5.6152343750e+01 5.6140487024e-06 1.6904646192e-06 3.9235840832e-06
5.6396484375e+01 5.3454983083e-06 1.6109698994e-06 3.7345284089e-06
5.6640625000e+01 5.0745046818e-06 1.5279623516e-06 3.5465423303e-06
5.6884765625e+01 4.7992879221e-06 1.4383212111e-06 3.3609667110e-06
5.7128906250e+01 4.5298339986e-06 1.3566686034e-06 3.1731653952e-06
5.7373046875e+01 4.2458770529e-06 1.2742830082e-06 2.9715940447e-06
5.7617187500e+01 3.9836391926e-06 1.1985911290e-06 2.7850480636e-06
5.7861328125e+01 3.7437410297e-06 1.1320630825e-06 2.6116779472e-06
5.8105468750e+01 3.5346296173e-06 1.0739712320e-06 2.4606583853e-06
5.8349609375e+01 3.3572418482e-06 1.0238610460e-06 2.3333808022e-06
5.8593750000e+01 3.2108410467e-06 9.8131307953e-07 2.2295279672e-06
5.8837890625e+01 3.1012013907e-06 9.5218762948e-07 2.1490137612e-06
5.9082031250e+01 3.0116083402e-06 9.2653003450e-07 2.0850783057e-06
5.9326171875e+01 2.9483501023e-06 9.0476654281e-07 2.0435835595e-06
5.9570312500e+01 2.8944793361e-06 8.8838171861e-07 2.0060976175e-06
5.9814453125e+01 2.8490361597e-06 8.7541075891e-07 1.9736254008e-06
6.0058593750e+01 2.8312057956e-06 8.6989646391e-07 1.9613093317e-06
6.0302734375e+01 2.8224332498e-06 8.6486241010e-07 1.9575708397e-06
6.0546875000e+01 2.8075015281e-06 8.6071135607e-07 1.9467901721e-06
6.0791015625e+01 2.7789119481e-06 8.4959189452e-07 1.9293200535e-06
6.1035156250e+01 2.7399065316e-06 8.3939079520e-07 1.9005157364e-06
6.1279296875e+01 2.6733436650e-06 8.2134744222e-07 1.8519962228e-06
6.1523437500e+01 2.6155000886e-06 8.0509805748e-07 1.8104020311e-06
6.1767578125e+01 2.5466920627e-06 7.8487048511e-07 1.7618215776e-06
6.2011718750e+01 2.4800964059e-06 7.6569583336e-07 1.7144005725e-06
6.2255859375e+01 2.4243307480e-06 7.4764070315e-07 1.6766900449e-06
