# freq_THz  G_total  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
3.1250000000e+01 2.2499036101e-03 6.8843327593e-04 1.5614703341e-03
3.1494140625e+01 1.7103689463e-03 5.1744402463e-04 1.1929249217e-03
3.1738281250e+01 1.4341995613e-03 4.3067844897e-04 1.0035211124e-03
3.1982421875e+01 1.3005129776e-03 3.8923036236e-04 9.1128261519e-04
3.2226562500e+01 1.2253016875e-03 3.6576740833e-04 8.5953427913e-04
3.2470703125e+01 1.1547478076e-03 3.4421268072e-04 8.1053512683e-04
3.2714843750e+01 1.1119023741e-03 3.3298764566e-04 7.7891472841e-04
3.2958984375e+01 1.0797028928e-03 3.2551841247e-04 7.5418448035e-04
3.3203125000e+01 1.0387719830e-03 3.1572429241e-04 7.2304769056e-04
3.3447265625e+01 1.0028743747e-03 3.0650074437e-04 6.9637363036e-04
3.3691406250e+01 9.9215154067e-04 3.0408692460e-04 6.8806461606e-04
3.3935546875e+01 9.7193645422e-04 2.9868058566e-04 6.7325586856e-04
3.4179687500e+01 9.5442960698e-04 2.9316247119e-04 6.6126713579e-04
3.4423828125e+01 9.4329549736e-04 2.8904948722e-04 6.5424601014e-04
3.4667968750e+01 9.2717801445e-04 2.8182832263e-04 6.4534969183e-04
3.4912109375e+01 8.9831787979e-04 2.6978732025e-04 6.2853055954e-04
3.5156250000e+01 8.7440504022e-04 2.6041346640e-04 6.1399157382e-04
3.5400390625e+01 8.5537608112e-04 2.5312842991e-04 6.0224765120e-04
3.5644531250e+01 8.3897040852e-04 2.4644403870e-04 5.9252636982e-04
3.5888671875e+01 8.2280657950e-04 2.4033201954e-04 5.8247455996e-04
3.6132812500e+01 8.1724137572e-04 2.3815714052e-04 5.7908423521e-04
3.6376953125e+01 8.1374334490e-04 2.3658289604e-04 5.7716044886e-04
3.6621093750e+01 8.2066607635e-04 2.3799171234e-04 5.8267436401e-04
3.6865234375e+01 8.4815784217e-04 2.4517246638e-04 6.0298537580e-04
3.7109375000e+01 8.7882992588e-04 2.5278455426e-04 6.2604537162e-04
3.7353515625e+01 9.0504488842e-04 2.6044840961e-04 6.4459647881e-04
3.7597656250e+01 9.1447762125e-04 2.6287292767e-04 6.5160469358e-04
3.7841796875e+01 9.1485899380e-04 2.6219394033e-04 6.5266505347e-04
3.8085937500e+01 9.1738266976e-04 2.6226684122e-04 6.5511582854e-04
3.8330078125e+01 9.2063008792e-04 2.6261919288e-04 6.5801089504e-04
3.8574218750e+01 9.1344471534e-04 2.5972329815e-04 6.5372141719e-04
3.8818359375e+01 8.9605062293e-04 2.5354126856e-04 6.4250935437e-04
3.9062500000e+01 8.6760444082e-04 2.4409494974e-04 6.2350949108e-04
3.9306640625e+01 8.2787929082e-04 2.3105666396e-04 5.9682262685e-04
3.9550781250e+01 7.9544836224e-04 2.1983313796e-04 5.7561522428e-04
3.9794921875e+01 7.6618124191e-04 2.0960451624e-04 5.5657672567e-04
4.0039062500e+01 7.4928156342e-04 2.0309491503e-04 5.4618664839e-04
4.0283203125e+01 7.4878304869e-04 2.0073501269e-04 5.4804803601e-04
4.0527343750e+01 7.5488564212e-04 2.0059849910e-04 5.5428714302e-04
4.0771484375e+01 7.6553564601e-04 2.0160471125e-04 5.6393093476e-04
4.1015625000e+01 7.8775221870e-04 2.0523748844e-04 5.8251473026e-04
4.1259765625e+01 8.3654188755e-04 2.1522561204e-04 6.2131627551e-04
4.1503906250e+01 8.8036869936e-04 2.2391521277e-04 6.5645348659e-04
4.1748046875e+01 8.4090180444e-04 2.1271321016e-04 6.2818859428e-04
