# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
3.7109375000e+01 8.7663215258e-04 2.5271025315e-04 6.2392189943e-04
3.7353515625e+01 8.9525051241e-04 2.5755018823e-04 6.3770032418e-04
3.7597656250e+01 9.0817039156e-04 2.6077450194e-04 6.4739588962e-04
3.7841796875e+01 9.1508582001e-04 2.6220937192e-04 6.5287644809e-04
3.8085937500e+01 9.1709933563e-04 2.6213855088e-04 6.5496078476e-04
3.8330078125e+01 9.1414985162e-04 2.6052769635e-04 6.5362215527e-04
3.8574218750e+01 9.0462650681e-04 2.5687123505e-04 6.4775527176e-04
3.8818359375e+01 8.8711481879e-04 2.5071630200e-04 6.3639851679e-04
3.9062500000e+01 8.6221677177e-04 2.4221671870e-04 6.2000005307e-04
3.9306640625e+01 8.3309158257e-04 2.3229736547e-04 6.0079421710e-04
3.9550781250e+01 8.0451477769e-04 2.2238020560e-04 5.8213457209e-04
3.9794921875e+01 7.8121400207e-04 2.1387705486e-04 5.6733694721e-04
4.0039062500e+01 7.6650517621e-04 2.0776005962e-04 5.5874511659e-04
4.0283203125e+01 7.6171090979e-04 2.0438725445e-04 5.5732365535e-04
4.0527343750e+01 7.6674844502e-04 2.0366833319e-04 5.6308011183e-04
4.0771484375e+01 7.8099003866e-04 2.0532398734e-04 5.7566605132e-04
4.1015625000e+01 8.0134595098e-04 2.0849140416e-04 5.9285454682e-04
4.1259765625e+01 8.1716468542e-04 2.1054209602e-04 6.0662258941e-04
4.1503906250e+01 8.0883164584e-04 2.0673585554e-04 6.0209579031e-04
4.1748046875e+01 7.5715351787e-04 1.9245043786e-04 5.6470308001e-04
4.1992187500e+01 6.5790806749e-04 1.6669903554e-04 4.9120903195e-04
4.2236328125e+01 5.2700956979e-04 1.3343003440e-04 3.9357953539e-04
4.2480468750e+01 3.9144342546e-04 9.9336328146e-05 2.9210709731e-04
4.2724609375e+01 2.7515982288e-04 7.0319743851e-05 2.0484007903e-04
