# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
7.6171875000e+01 3.2159867610e-07 1.2726914980e-07 1.9432952629e-07
7.6416015625e+01 2.9435914623e-07 1.1648726693e-07 1.7787187930e-07
7.6660156250e+01 2.6507109687e-07 1.0468599796e-07 1.6038509890e-07
7.6904296875e+01 2.3694414568e-07 9.3141845769e-08 1.4380229991e-07
7.7148437500e+01 2.1239292527e-07 8.2889626207e-08 1.2950329906e-07
7.7392578125e+01 1.9267327914e-07 7.4532980691e-08 1.1814029845e-07
7.7636718750e+01 1.7805349432e-07 6.8270012645e-08 1.0978348167e-07
7.7880859375e+01 1.6812071462e-07 6.3985269770e-08 1.0413544485e-07
7.8125000000e+01 1.6188746331e-07 6.1282214284e-08 1.0060524902e-07
7.8369140625e+01 1.5763260879e-07 5.9456599169e-08 9.8176009623e-08
7.8613281250e+01 1.5286233419e-07 5.7520844360e-08 9.5341489833e-08
7.8857421875e+01 1.4495284558e-07 5.4456706358e-08 9.0496139226e-08
7.9101562500e+01 1.3239095883e-07 4.9694668851e-08 8.2696289982e-08
7.9345703125e+01 1.1571040528e-07 4.3462143104e-08 7.2248262179e-08
7.9589843750e+01 9.7313530835e-08 3.6665346942e-08 6.0648183892e-08
7.9833984375e+01 8.0209153714e-08 3.0383915941e-08 4.9825237773e-08
8.0078125000e+01 6.6441073198e-08 2.5318137680e-08 4.1122935519e-08
8.0322265625e+01 5.6224597207e-08 2.1513170802e-08 3.4711426405e-08
8.0566406250e+01 4.8422252311e-08 1.8545601249e-08 2.9876651062e-08
8.0810546875e+01 4.1857462811e-08 1.6001788332e-08 2.5855674480e-08
8.1054687500e+01 3.6140516873e-08 1.3773627993e-08 2.2366888881e-08
8.1298828125e+01 3.1443502299e-08 1.1956805878e-08 1.9486696421e-08
