# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_species=True
7.6293945312e+00 3.5466638261e-01 2.0180765698e-01 1.5285872563e-01
7.6904296875e+00 3.6720345657e-01 2.0572991384e-01 1.6147354273e-01
7.7514648438e+00 3.7911389847e-01 2.0923843480e-01 1.6987546366e-01
7.8125000000e+00 3.9040355539e-01 2.1235832449e-01 1.7804523090e-01
7.8735351562e+00 4.0113053492e-01 2.1513719079e-01 1.8599334413e-01
7.9345703125e+00 4.1139011491e-01 2.1763681887e-01 1.9375329604e-01
7.9956054688e+00 4.2129504576e-01 2.1992544943e-01 2.0136959634e-01
8.0566406250e+00 4.3094913249e-01 2.2206663813e-01 2.0888249436e-01
8.1176757812e+00 4.4042478469e-01 2.2411050901e-01 2.1631427568e-01
8.1787109375e+00 4.4974657404e-01 2.2608949233e-01 2.2365708171e-01
8.2397460938e+00 4.5887395803e-01 2.2801094436e-01 2.3086301367e-01
8.3007812500e+00 4.6769762791e-01 2.2985684743e-01 2.3784078047e-01
8.3618164062e+00 4.7604452062e-01 2.3158617379e-01 2.4445834683e-01
8.4228515625e+00 4.8368984016e-01 2.3314002603e-01 2.5054981412e-01
8.4838867188e+00 4.9038245562e-01 2.3445088329e-01 2.5593157234e-01
8.5449218750e+00 4.9586402339e-01 2.3544736893e-01 2.6041665446e-01
8.6059570312e+00 4.9989865762e-01 2.3606421422e-01 2.6383444339e-01
8.6669921875e+00 5.0229810839e-01 2.3624987916e-01 2.6604822923e-01
8.7280273438e+00 5.0293977512e-01 2.3597086128e-01 2.6696891384e-01
8.7890625000e+00 5.0177918393e-01 2.3521402125e-01 2.6656516268e-01
8.8500976562e+00 4.9885562299e-01 2.3398829711e-01 2.6486732588e-01
8.9111328125e+00 4.9428578086e-01 2.3232227525e-01 2.6196350561e-01
8.9721679688e+00 4.8825299611e-01 2.3026046040e-01 2.5799253572e-01
9.0332031250e+00 4.8099314721e-01 2.2786052431e-01 2.5313262290e-01
9.0942382812e+00 4.7277217251e-01 2.2518670378e-01 2.4758546873e-01
9.1552734375e+00 4.6386777324e-01 2.2230625280e-01 2.4156152044e-01
9.2163085938e+00 4.5455092724e-01 2.1928588031e-01 2.3526504692e-01
9.2773437500e+00 4.4507272143e-01 2.1618921175e-01 2.2888350967e-01
9.3383789062e+00 4.3565162119e-01 2.1307387025e-01 2.2257775094e-01
9.3994140625e+00 4.2646410419e-01 2.0998879135e-01 2.1647531284e-01
9.4604492188e+00 4.1764728048e-01 2.0697607470e-01 2.1067120578e-01
9.5214843750e+00 4.0929863653e-01 2.0407077917e-01 2.0522785736e-01
9.5825195312e+00 4.0147893000e-01 2.0130157580e-01 2.0017735421e-01
9.6435546875e+00 3.9421807099e-01 1.9869029449e-01 1.9552777649e-01
9.7045898438e+00 3.8752092666e-01 1.9625336192e-01 1.9126756473e-01
9.7656250000e+00 3.8137149411e-01 1.9400050859e-01 1.8737098553e-01
9.8266601562e+00 3.7573883716e-01 1.9193517267e-01 1.8380366449e-01
9.8876953125e+00 3.7058102224e-01 1.9005427370e-01 1.8052674854e-01
9.9487304688e+00 3.6584854909e-01 1.8834817909e-01 1.7750037000e-01
1.0009765625e+01 3.6148611000e-01 1.8680043048e-01 1.7468567952e-01
1.0070800781e+01 3.5743878836e-01 1.8538924859e-01 1.7204953977e-01
1.0131835938e+01 3.5364790496e-01 1.8408604166e-01 1.6956186330e-01
1.0192871094e+01 3.5005528143e-01 1.8285791637e-01 1.6719736506e-01
1.0253906250e+01 3.4660829514e-01 1.8167049266e-01 1.6493780248e-01
1.0314941406e+01 3.4325858627e-01 1.8048865037e-01 1.6276993590e-01
1.0375976562e+01 3.3996295956e-01 1.7927939545e-01 1.6068356410e-01
1.0437011719e+01 3.3668230773e-01 1.7801078320e-01 1.5867152454e-01
1.0498046875e+01 3.3338082621e-01 1.7665270944e-01 1.5672811677e-01
1.0559082031e+01 3.3002500637e-01 1.7517837623e-01 1.5484663014e-01
1.0620117188e+01 3.2658090542e-01 1.7356309505e-01 1.5301781037e-01
1.0681152344e+01 3.2301882032e-01 1.7178708178e-01 1.5123173854e-01
1.0742187500e+01 3.1930758645e-01 1.6983278630e-01 1.4947480015e-01
1.0803222656e+01 3.1542077447e-01 1.6768855779e-01 1.4773221668e-01
1.0864257812e+01 3.1133912613e-01 1.6535090078e-01 1.4598822535e-01
1.0925292969e+01 3.0705303967e-01 1.6282466243e-01 1.4422837724e-01
1.0986328125e+01 3.0256961110e-01 1.6012686924e-01 1.4244274186e-01
1.1047363281e+01 2.9791446202e-01 1.5728808849e-01 1.4062637353e-01
1.1108398438e+01 2.9313231672e-01 1.5435157786e-01 1.3878073886e-01
1.1169433594e+01 2.8829031837e-01 1.5137517481e-01 1.3691514356e-01
1.1230468750e+01 2.8347022924e-01 1.4842603139e-01 1.3504419785e-01
1.1291503906e+01 2.7876036423e-01 1.4557444507e-01 1.3318591916e-01
1.1352539062e+01 2.7425272877e-01 1.4289294795e-01 1.3135978082e-01
1.1413574219e+01 2.7003046760e-01 1.4044820890e-01 1.2958225870e-01
1.1474609375e+01 2.6615805292e-01 1.3829520698e-01 1.2786284594e-01
1.1535644531e+01 2.6267521985e-01 1.3647363962e-01 1.2620158022e-01
