# freq_THz  G_total  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=16.38400000; df_THz=0.06103516; total_equals_sum_of_species=True
1.9592285156e+01 2.0166377522e-02 2.4113579164e-03 1.7755019605e-02
1.9653320312e+01 4.2587874884e-02 3.0167706091e-03 3.9571104275e-02
1.9714355469e+01 7.8479498174e-02 4.4884670384e-03 7.3991031136e-02
1.9775390625e+01 8.7497448773e-02 5.8668658320e-03 8.1630582941e-02
1.9836425781e+01 9.7400995877e-02 6.2030468483e-03 9.1197949029e-02
1.9897460938e+01 1.0240932056e-01 7.0903386096e-03 9.5318981953e-02
1.9958496094e+01 1.1710576007e-01 1.0282277121e-02 1.0682348294e-01
2.0019531250e+01 1.4143749748e-01 1.2705812217e-02 1.2873168526e-01
2.0080566406e+01 1.4070348607e-01 1.2114649568e-02 1.2858883650e-01
2.0141601562e+01 1.5747852360e-01 1.3369754489e-02 1.4410876911e-01
2.0202636719e+01 1.5480662583e-01 1.2479291040e-02 1.4232733479e-01
2.0263671875e+01 1.6038585278e-01 1.4179523861e-02 1.4620632892e-01
2.0324707031e+01 1.6829010288e-01 1.6381623272e-02 1.5190847961e-01
2.0385742188e+01 1.6095100767e-01 1.5594219680e-02 1.4535678799e-01
2.0446777344e+01 1.4823406231e-01 1.4565417323e-02 1.3366864499e-01
2.0507812500e+01 1.6386961992e-01 1.6322902608e-02 1.4754671731e-01
2.0568847656e+01 1.6466684069e-01 1.6501815199e-02 1.4816502549e-01
2.0629882812e+01 1.4356345253e-01 1.4414729531e-02 1.2914872300e-01
2.0690917969e+01 1.5302397334e-01 1.5890352486e-02 1.3713362086e-01
