# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_species=True
5.8593750000e+00 2.1521479690e-01 1.5568963757e-01 5.9525159334e-02
5.9204101562e+00 2.1199114782e-01 1.5203414141e-01 5.9957006403e-02
5.9814453125e+00 2.0976908939e-01 1.4904611878e-01 6.0722970613e-02
6.0424804688e+00 2.0854385774e-01 1.4676706216e-01 6.1776795584e-02
6.1035156250e+00 2.0825304130e-01 1.4519697596e-01 6.3056065337e-02
6.1645507812e+00 2.0878336745e-01 1.4429529274e-01 6.4488074709e-02
6.2255859375e+00 2.0998144322e-01 1.4398597573e-01 6.5995467494e-02
6.2866210938e+00 2.1167404087e-01 1.4416940601e-01 6.7504634861e-02
6.3476562500e+00 2.1368486950e-01 1.4473181830e-01 6.8953051201e-02
6.4086914062e+00 2.1585418397e-01 1.4555812466e-01 7.0296059306e-02
6.4697265625e+00 2.1806361115e-01 1.4654778236e-01 7.1515828787e-02
6.5307617188e+00 2.2024801081e-01 1.4762368936e-01 7.2624321452e-02
6.5917968750e+00 2.2239888562e-01 1.4873617890e-01 7.3662706719e-02
6.6528320312e+00 2.2457314010e-01 1.4987125137e-01 7.4701888732e-02
6.7138671875e+00 2.2688496587e-01 1.5104737489e-01 7.5837590984e-02
6.7749023438e+00 2.2948791380e-01 1.5230687348e-01 7.7181040324e-02
6.8359375000e+00 2.3255887647e-01 1.5370920307e-01 7.8849673399e-02
6.8969726562e+00 2.3627873752e-01 1.5532161211e-01 8.0957125413e-02
6.9580078125e+00 2.4080698942e-01 1.5720487682e-01 8.3602112598e-02
7.0190429688e+00 2.4626777125e-01 1.5940693590e-01 8.6860835353e-02
7.0800781250e+00 2.5273437544e-01 1.6195390239e-01 9.0780473051e-02
7.1411132812e+00 2.6022204654e-01 1.6484618679e-01 9.5375859745e-02
7.2021484375e+00 2.6869047958e-01 1.6805958456e-01 1.0063089502e-01
7.2631835938e+00 2.7804807876e-01 1.7154675534e-01 1.0650132341e-01
7.3242187500e+00 2.8816258111e-01 1.7524148714e-01 1.1292109397e-01
7.3852539062e+00 2.9888087067e-01 1.7906972801e-01 1.1981114266e-01
7.4462890625e+00 3.1003999166e-01 1.8295387860e-01 1.2708611306e-01
7.5073242188e+00 3.2148592721e-01 1.8682216871e-01 1.3466375850e-01
7.5683593750e+00 3.3308372504e-01 1.9061407740e-01 1.4246964765e-01
7.6293945312e+00 3.4472525926e-01 1.9428405325e-01 1.5044120601e-01
7.6904296875e+00 3.5633222019e-01 1.9780270183e-01 1.5852951836e-01
7.7514648438e+00 3.6785107920e-01 2.0115472850e-01 1.6669635070e-01
7.8125000000e+00 3.7924861897e-01 2.0433724591e-01 1.7491137306e-01
7.8735351562e+00 3.9050250207e-01 2.0735531830e-01 1.8314718377e-01
7.9345703125e+00 4.0158727377e-01 2.1021601309e-01 1.9137126068e-01
7.9956054688e+00 4.1246492386e-01 2.1292488639e-01 1.9954003747e-01
8.0566406250e+00 4.2307290276e-01 2.1548022695e-01 2.0759267581e-01
8.1176757812e+00 4.3331832058e-01 2.1787151704e-01 2.1544680353e-01
8.1787109375e+00 4.4307747020e-01 2.2007945073e-01 2.2299801947e-01
8.2397460938e+00 4.5219856145e-01 2.2207655136e-01 2.3012201009e-01
8.3007812500e+00 4.6050881534e-01 2.2382972143e-01 2.3667909391e-01
8.3618164062e+00 4.6782321856e-01 2.2530160618e-01 2.4252161238e-01
8.4228515625e+00 4.7396325602e-01 2.2645741740e-01 2.4750583862e-01
8.4838867188e+00 4.7876986286e-01 2.2726723362e-01 2.5150262924e-01
8.5449218750e+00 4.8212034949e-01 2.2771026959e-01 2.5441007990e-01
8.6059570312e+00 4.8393911811e-01 2.2777690632e-01 2.5616221179e-01
8.6669921875e+00 4.8420637202e-01 2.2747015412e-01 2.5673621790e-01
8.7280273438e+00 4.8296224508e-01 2.2680611560e-01 2.5615612948e-01
8.7890625000e+00 4.8030293041e-01 2.2581206342e-01 2.5449086699e-01
8.8500976562e+00 4.7637225015e-01 2.2452356469e-01 2.5184868546e-01
8.9111328125e+00 4.7134954832e-01 2.2298136787e-01 2.4836818045e-01
8.9721679688e+00 4.6543589792e-01 2.2122812093e-01 2.4420777699e-01
9.0332031250e+00 4.5883960215e-01 2.1930568382e-01 2.3953391833e-01
9.0942382812e+00 4.5176020467e-01 2.1725247101e-01 2.3450773365e-01
9.1552734375e+00 4.4438118089e-01 2.1510294217e-01 2.2927823872e-01
9.2163085938e+00 4.3686181922e-01 2.1288654135e-01 2.2397527788e-01
9.2773437500e+00 4.2932926401e-01 2.1062578690e-01 2.1870347712e-01
9.3383789062e+00 4.2188475236e-01 2.0834097439e-01 2.1354377797e-01
9.3994140625e+00 4.1460263697e-01 2.0604879360e-01 2.0855384336e-01
9.4604492188e+00 4.0753408961e-01 2.0376319711e-01 2.0377089250e-01
9.5214843750e+00 4.0071498701e-01 2.0149805137e-01 1.9921693565e-01
9.5825195312e+00 3.9416641398e-01 1.9926581733e-01 1.9490059665e-01
9.6435546875e+00 3.8790193775e-01 1.9707964608e-01 1.9082229167e-01
9.7045898438e+00 3.8193149465e-01 1.9495317957e-01 1.8697831508e-01
9.7656250000e+00 3.7625709484e-01 1.9289697060e-01 1.8336012424e-01
9.8266601562e+00 3.7087577965e-01 1.9092028820e-01 1.7995549146e-01
9.8876953125e+00 3.6578178521e-01 1.8903038750e-01 1.7675139771e-01
9.9487304688e+00 3.6096335782e-01 1.8723026872e-01 1.7373308910e-01
1.0009765625e+01 3.5640028400e-01 1.8551704693e-01 1.7088323707e-01
1.0070800781e+01 3.5206501588e-01 1.8388165173e-01 1.6818336415e-01
1.0131835938e+01 3.4792324764e-01 1.8230932331e-01 1.6561392433e-01
1.0192871094e+01 3.4393473135e-01 1.8077977532e-01 1.6315495604e-01
1.0253906250e+01 3.4005896651e-01 1.7926998289e-01 1.6078898362e-01
1.0314941406e+01 3.3625470871e-01 1.7775487058e-01 1.5849983813e-01
1.0375976562e+01 3.3248657781e-01 1.7621116542e-01 1.5627541239e-01
1.0437011719e+01 3.2872683635e-01 1.7461961398e-01 1.5410722237e-01
1.0498046875e+01 3.2495491575e-01 1.7296531032e-01 1.5198960543e-01
1.0559082031e+01 3.2115999242e-01 1.7123914280e-01 1.4992084962e-01
1.0620117188e+01 3.1733674548e-01 1.6943649748e-01 1.4790024800e-01
1.0681152344e+01 3.1348663107e-01 1.6755766756e-01 1.4592896351e-01
1.0742187500e+01 3.0961274534e-01 1.6560489009e-01 1.4400785525e-01
1.0803222656e+01 3.0571571002e-01 1.6358038535e-01 1.4213532467e-01
1.0864257812e+01 3.0179596661e-01 1.6148680199e-01 1.4030916462e-01
1.0925292969e+01 2.9785157469e-01 1.5932578147e-01 1.3852579321e-01
1.0986328125e+01 2.9387743425e-01 1.5709865283e-01 1.3677878142e-01
1.1047363281e+01 2.8987208985e-01 1.5480936072e-01 1.3506272913e-01
1.1108398438e+01 2.8583805115e-01 1.5246576515e-01 1.3337228600e-01
1.1169433594e+01 2.8178420885e-01 1.5008188475e-01 1.3170232410e-01
1.1230468750e+01 2.7772785204e-01 1.4767914317e-01 1.3004870887e-01
1.1291503906e+01 2.7369332932e-01 1.4528615374e-01 1.2840717558e-01
1.1352539062e+01 2.6971007807e-01 1.4293769304e-01 1.2677238503e-01
1.1413574219e+01 2.6580985752e-01 1.4067253899e-01 1.2513731853e-01
1.1474609375e+01 2.6201915834e-01 1.3852902312e-01 1.2349013522e-01
1.1535644531e+01 2.5835400749e-01 1.3654146741e-01 1.2181254008e-01
1.1596679688e+01 2.5481540862e-01 1.3473653462e-01 1.2007887400e-01
1.1657714844e+01 2.5138296023e-01 1.3312908908e-01 1.1825387115e-01
1.1718750000e+01 2.4801362287e-01 1.3172008455e-01 1.1629353832e-01
1.1779785156e+01 2.4464219919e-01 1.3049646354e-01 1.1414573565e-01
1.1840820312e+01 2.4118311424e-01 1.2943100865e-01 1.1175210559e-01
1.1901855469e+01 2.3753892726e-01 1.2848605383e-01 1.0905287343e-01
1.1962890625e+01 2.3361127655e-01 1.2761910771e-01 1.0599216885e-01
1.2023925781e+01 2.2931267840e-01 1.2678833502e-01 1.0252434337e-01
1.2084960938e+01 2.2457881440e-01 1.2595850493e-01 9.8620309461e-02
1.2145996094e+01 2.1938092936e-01 1.2510741288e-01 9.4273516485e-02
1.2207031250e+01 2.1373594503e-01 1.2423100520e-01 8.9504939827e-02
1.2268066406e+01 2.0770914572e-01 1.2334494933e-01 8.4364196390e-02
1.2329101562e+01 2.0141644733e-01 1.2248674415e-01 7.8929703177e-02
1.2390136719e+01 1.9501771293e-01 1.2171343825e-01 7.3304274681e-02
1.2451171875e+01 1.8870466260e-01 1.2109649213e-01 6.7608170471e-02
1.2512207031e+01 1.8268755944e-01 1.2071683306e-01 6.1970726383e-02
1.2573242188e+01 1.7717678418e-01 1.2065700974e-01 5.6519774437e-02
1.2634277344e+01 1.7236832500e-01 1.2099608852e-01 5.1372236479e-02
1.2695312500e+01 1.6842867668e-01 1.2180277964e-01 4.6625897038e-02
1.2756347656e+01 1.6548470591e-01 1.2313144458e-01 4.2353261331e-02
1.2817382812e+01 1.6361749535e-01 1.2501950959e-01 3.8597985761e-02
1.2878417969e+01 1.6286260097e-01 1.2748677992e-01 3.5375821052e-02
1.2939453125e+01 1.6321042540e-01 1.3053369613e-01 3.2676729261e-02
